date,time,loadShuntmV1,loadBusV1,loadCurrentmA1,ocShuntmV1,ocBusV1,ocCurrentmA1,iscShuntmV1,iscBusV1,iscCurrentmA1,loadShuntmV2,loadBusV2,loadCurrentmA2,ocShuntmV2,ocBusV2,ocCurrentmA2,iscShuntmV2,iscBusV2,iscCurrentmA2,loadShuntmV3,loadBusV3,loadCurrentmA3,ocShuntmV3,ocBusV3,ocCurrentmA3,iscShuntmV3,iscBusV3,iscCurrentmA3,loadShuntmV4,loadBusV4,loadCurrentmA4,ocShuntmV4,ocBusV4,ocCurrentmA4,iscShuntmV4,iscBusV4,iscCurrentmA4,ldrRaw,ldrVolt,ldrPct
25/08/2026,07:31:03,3.630,0.284,72.600,-0.030,8.970,-0.600,2.962,0.000,59.120,1.150,0.064,22.400,-0.044,6.380,-0.560,0.138,0.000,2.680,10.170,0.644,203.400,0.008,9.225,0.560,9.958,0.008,199.480,0.240,0.004,4.600,-0.060,4.398,-0.920,0.236,0.000,4.360,389,1.25,38.03
25/08/2026,07:32:00,3.640,0.292,72.600,-0.022,9.063,-0.600,3.012,0.000,60.280,1.140,0.068,22.800,-0.032,6.505,-0.720,0.140,0.000,2.960,10.590,0.680,211.400,0.030,9.306,0.560,10.396,0.004,207.840,0.240,0.012,5.000,-0.058,4.478,-1.240,0.246,0.000,4.520,422,1.36,41.25
25/08/2026,07:33:00,3.780,0.296,75.000,-0.040,9.134,-0.400,3.070,0.000,61.280,1.200,0.068,23.600,-0.040,6.597,-0.720,0.146,0.000,2.920,11.270,0.716,224.800,0.032,9.390,0.560,11.048,0.006,220.840,0.230,0.004,5.200,-0.042,4.586,-0.880,0.262,0.000,5.240,422,1.36,41.25
25/08/2026,07:34:00,3.810,0.304,76.200,-0.026,9.152,-0.520,3.146,0.000,63.120,1.200,0.076,24.200,-0.036,6.622,-0.800,0.150,0.000,2.960,11.360,0.724,226.800,0.028,9.411,0.640,11.144,0.002,223.120,0.270,0.012,5.400,-0.052,4.600,-1.200,0.252,0.000,5.360,422,1.36,41.25
25/08/2026,07:35:00,3.730,0.292,74.800,-0.044,9.108,-0.440,3.042,0.000,60.840,1.200,0.064,23.800,-0.024,6.576,-0.600,0.152,0.000,3.080,11.010,0.696,220.600,0.022,9.359,0.520,10.758,0.003,215.240,0.250,0.000,5.200,-0.046,4.546,-1.080,0.248,0.000,4.800,421,1.36,41.15
25/08/2026,07:36:00,3.650,0.288,72.200,-0.034,9.068,-0.800,2.974,0.000,59.560,1.150,0.064,23.000,-0.028,6.532,-0.560,0.140,0.000,2.960,10.710,0.676,213.800,0.034,9.320,0.600,10.460,0.002,209.640,0.250,0.004,5.200,-0.044,4.502,-1.160,0.240,0.000,5.000,421,1.36,41.15
25/08/2026,07:37:00,3.630,0.288,72.400,-0.042,9.054,-0.760,2.974,0.000,59.280,1.150,0.064,22.600,-0.032,6.514,-0.720,0.144,0.000,2.680,10.510,0.664,210.600,0.032,9.313,0.720,10.308,0.005,205.880,0.240,0.000,4.800,-0.058,4.472,-1.080,0.232,0.000,4.840,420,1.35,41.06
25/08/2026,07:38:00,3.700,0.288,73.600,-0.028,9.068,-0.440,3.004,0.000,60.520,1.150,0.068,23.200,-0.036,6.527,-0.600,0.136,0.000,3.000,10.490,0.660,210.000,0.032,9.300,0.600,10.264,0.004,205.400,0.250,0.000,4.800,-0.054,4.470,-0.760,0.224,0.000,4.560,421,1.36,41.15
25/08/2026,07:39:00,3.710,0.296,74.400,-0.030,9.085,-0.800,3.038,0.000,60.880,1.160,0.064,23.400,-0.040,6.550,-0.720,0.134,0.000,2.880,10.610,0.672,212.200,0.032,9.326,0.600,10.398,0.002,208.040,0.230,0.004,4.800,-0.046,4.492,-1.240,0.242,0.000,4.880,421,1.36,41.15
25/08/2026,07:40:00,3.760,0.292,74.600,-0.038,9.095,-0.560,3.058,0.000,61.280,1.170,0.064,23.200,-0.036,6.558,-0.680,0.154,0.000,2.840,10.640,0.672,212.800,0.032,9.312,0.480,10.426,0.002,208.520,0.250,0.000,5.200,-0.052,4.492,-1.040,0.252,0.000,4.760,421,1.36,41.15
25/08/2026,07:41:00,3.700,0.292,74.000,-0.040,9.081,-0.560,3.024,0.000,60.400,1.170,0.064,23.200,-0.040,6.545,-0.840,0.144,0.000,2.720,10.580,0.664,211.600,0.024,9.301,0.600,10.362,0.002,207.320,0.230,0.004,4.800,-0.054,4.477,-1.120,0.246,0.000,4.800,421,1.36,41.15
25/08/2026,07:42:00,3.650,0.288,73.600,-0.030,9.067,-0.680,3.002,0.000,60.120,1.160,0.064,23.000,-0.038,6.537,-0.840,0.142,0.000,3.000,10.590,0.668,212.000,0.032,9.309,0.440,10.370,0.002,207.480,0.260,0.004,4.800,-0.054,4.469,-0.960,0.244,0.000,4.920,422,1.36,41.25
25/08/2026,07:43:00,3.690,0.292,73.800,-0.036,9.081,-0.640,3.022,0.000,60.520,1.170,0.064,23.400,-0.034,6.558,-0.720,0.144,0.000,3.000,10.730,0.680,214.600,0.026,9.330,0.600,10.536,0.002,210.600,0.250,0.000,5.200,-0.046,4.490,-1.120,0.246,0.000,4.880,423,1.36,41.35
25/08/2026,07:44:00,3.780,0.300,75.800,-0.026,9.116,-0.840,3.104,0.000,62.120,1.210,0.064,24.000,-0.036,6.596,-0.600,0.140,0.000,2.840,10.990,0.696,219.400,0.028,9.364,0.520,10.764,0.002,215.040,0.250,0.000,4.800,-0.048,4.533,-1.120,0.250,0.000,4.800,421,1.36,41.15
25/08/2026,07:45:00,3.870,0.308,77.600,-0.018,9.153,-0.800,3.164,0.000,63.320,1.230,0.068,24.400,-0.034,6.639,-0.680,0.142,0.000,3.240,11.130,0.704,222.600,0.024,9.381,0.520,10.898,0.002,217.760,0.260,0.004,5.400,-0.054,4.554,-1.040,0.264,0.000,4.880,422,1.36,41.25
25/08/2026,07:46:00,3.890,0.308,78.000,-0.038,9.169,-0.560,3.196,0.000,64.000,1.250,0.068,24.400,-0.040,6.661,-0.600,0.158,0.000,3.160,11.380,0.724,227.400,0.020,9.409,0.440,11.154,0.003,222.960,0.260,0.008,5.200,-0.052,4.586,-0.880,0.256,0.000,5.280,422,1.36,41.25
25/08/2026,07:47:00,3.940,0.312,78.800,-0.018,9.187,-0.640,3.250,0.000,64.600,1.220,0.072,25.200,-0.032,6.681,-0.800,0.152,0.000,3.280,11.370,0.724,227.600,0.032,9.412,0.800,11.162,0.002,223.280,0.270,0.008,5.400,-0.054,4.594,-1.120,0.264,0.000,5.200,422,1.36,41.25
25/08/2026,07:48:00,3.920,0.308,78.200,-0.030,9.172,-0.880,3.210,0.000,64.280,1.230,0.072,24.600,-0.042,6.664,-0.560,0.150,0.000,3.120,11.280,0.716,225.400,0.022,9.394,0.520,11.038,0.002,220.840,0.270,0.004,5.400,-0.060,4.572,-1.040,0.252,0.000,5.280,420,1.35,41.06
25/08/2026,07:49:00,3.850,0.300,76.800,-0.036,9.142,-0.720,3.134,0.000,62.640,1.230,0.068,24.400,-0.034,6.637,-0.440,0.160,0.000,2.920,11.150,0.708,222.200,0.016,9.374,0.720,10.912,0.003,218.200,0.240,0.004,5.200,-0.056,4.550,-1.200,0.264,0.000,5.120,422,1.36,41.25
25/08/2026,07:50:00,3.850,0.300,76.400,-0.030,9.140,-0.480,3.124,0.000,62.680,1.220,0.068,24.400,-0.036,6.637,-0.720,0.158,0.000,3.080,11.270,0.712,225.000,0.020,9.386,0.440,11.034,0.005,220.600,0.280,0.004,4.600,-0.052,4.562,-1.280,0.274,0.000,5.160,421,1.36,41.15
25/08/2026,07:51:00,3.860,0.300,77.400,-0.040,9.152,-0.680,3.158,0.000,63.040,1.220,0.072,25.200,-0.034,6.651,-0.760,0.168,0.000,3.000,11.370,0.716,226.800,0.036,9.401,0.720,11.112,0.002,222.520,0.280,0.000,5.400,-0.044,4.582,-0.880,0.262,0.000,5.360,421,1.36,41.15
25/08/2026,07:52:00,3.880,0.308,78.200,-0.034,9.160,-0.560,3.176,0.000,63.480,1.240,0.068,24.800,-0.012,6.665,-0.720,0.156,0.000,3.120,11.380,0.716,227.600,0.026,9.402,0.760,11.138,0.002,222.600,0.260,0.004,5.600,-0.048,4.584,-1.000,0.260,0.000,5.400,422,1.36,41.25
25/08/2026,07:53:00,3.860,0.304,77.400,-0.030,9.155,-0.880,3.174,0.000,63.320,1.240,0.068,25.400,-0.040,6.664,-0.640,0.150,0.000,3.200,11.510,0.732,229.800,0.024,9.413,0.600,11.260,0.002,225.280,0.260,0.000,5.200,-0.046,4.594,-1.040,0.272,0.000,5.280,421,1.36,41.15
25/08/2026,07:54:00,3.840,0.304,77.800,-0.034,9.160,-0.680,3.176,0.000,63.680,1.250,0.072,24.800,-0.034,6.664,-0.600,0.170,0.000,3.320,11.470,0.724,228.800,0.030,9.410,0.440,11.226,0.002,224.240,0.250,0.004,5.600,-0.058,4.594,-1.160,0.256,0.000,5.360,422,1.36,41.25
25/08/2026,07:55:00,3.880,0.304,76.800,-0.034,9.151,-0.600,3.158,0.000,63.320,1.250,0.068,24.600,-0.038,6.653,-0.520,0.166,0.000,3.280,11.240,0.708,225.400,0.026,9.390,0.440,10.986,0.002,219.680,0.270,0.000,5.400,-0.050,4.560,-0.920,0.266,0.000,4.960,422,1.36,41.25
25/08/2026,07:56:00,3.790,0.300,75.400,-0.026,9.126,-0.800,3.106,0.000,61.880,1.210,0.068,24.200,-0.030,6.626,-0.800,0.178,0.000,3.240,10.990,0.696,219.600,0.036,9.357,0.480,10.742,0.002,215.000,0.280,0.000,5.200,-0.042,4.518,-1.120,0.252,0.000,5.120,422,1.36,41.25
25/08/2026,07:57:00,3.750,0.292,74.600,-0.032,9.112,-0.680,3.068,0.000,61.280,1.200,0.068,23.800,-0.032,6.618,-0.800,0.168,0.000,3.240,11.000,0.692,219.600,0.036,9.354,0.520,10.748,0.002,214.960,0.250,0.000,5.400,-0.064,4.513,-1.120,0.252,0.000,5.120,422,1.36,41.25
25/08/2026,07:58:00,3.770,0.292,75.200,-0.034,9.123,-0.640,3.082,0.000,61.680,1.240,0.068,24.000,-0.034,6.642,-0.720,0.178,0.000,3.200,11.320,0.720,226.800,0.032,9.389,0.480,11.118,0.002,222.320,0.230,0.004,5.000,-0.052,4.561,-1.120,0.264,0.000,5.320,422,1.36,41.25
25/08/2026,07:59:00,3.910,0.308,77.400,-0.046,9.184,-0.680,3.206,0.000,64.040,1.280,0.072,25.200,-0.038,6.721,-0.520,0.184,0.000,3.520,11.950,0.756,239.400,0.020,9.460,0.240,11.718,0.004,234.400,0.270,0.008,5.800,-0.056,4.647,-1.080,0.268,0.000,5.600,422,1.36,41.25
25/08/2026,08:00:00,4.120,0.324,82.400,-0.038,9.270,-0.440,3.398,0.000,67.920,1.330,0.080,26.800,-0.042,6.818,-0.360,0.192,0.000,3.800,12.700,0.808,253.800,0.032,9.542,0.440,12.432,0.004,248.720,0.290,0.008,6.000,-0.044,4.744,-0.960,0.302,0.000,5.600,422,1.36,41.25
25/08/2026,08:01:00,4.320,0.340,86.400,-0.030,9.342,-0.680,3.540,0.000,70.760,1.400,0.084,27.600,-0.038,6.893,-0.560,0.200,0.000,3.840,12.950,0.820,259.800,0.024,9.579,0.600,12.664,0.003,253.680,0.260,0.008,6.600,-0.052,4.799,-1.240,0.308,0.000,5.960,421,1.36,41.15
25/08/2026,08:02:00,4.290,0.336,85.600,-0.042,9.336,-0.520,3.508,0.000,70.200,1.380,0.084,27.400,-0.032,6.898,-0.560,0.188,0.000,3.880,12.910,0.820,258.200,0.020,9.565,0.640,12.634,0.004,252.640,0.310,0.008,6.200,-0.046,4.782,-1.000,0.292,0.000,6.120,423,1.36,41.35
25/08/2026,08:03:00,4.230,0.336,85.200,-0.030,9.325,-0.480,3.466,0.000,69.280,1.400,0.080,28.200,-0.030,6.896,-0.480,0.202,0.000,3.960,13.230,0.840,264.400,0.032,9.582,0.760,12.946,0.005,258.800,0.330,0.008,6.600,-0.044,4.819,-0.960,0.306,0.000,6.360,422,1.36,41.25
